id,date,market,commodity,price
0,2020-14-50,nakasero,MAIZE,1339
1,2020-02-14,none,BEANS,-2000
2,2020-11-04,mukono,MAIZE,4964
3,2020-05-22,mukono,MAIZE,3287
4,2021-01-25,nakasero,maize,1292
5,2020-05-15,mukono,BEANS,3600
6,2020-11-17,none,beans,1069
7,2020-05-28,mukono,MAIZE,3613
8,2020-07-05,bwaise,beans,2687
9,2020-02-06,none,MAIZE,2505
10,2021-04-18,none,MAIZE,958
11,2020-06-10,kansanga,beans,3077
12,2021-03-28,kansanga,MAIZE,2520
13,2021-01-17,none,BEANS,3771
14,2020-03-11,none,BEANS,885
15,2020-03-22,kansanga,maize,4334
16,2021-03-16,mukono,maize,4898
17,2020-06-23,mukono,beans,4216
17,2021-01-03,nakasero,MAIZE,1371
19,2020-11-23,none,MAIZE,1823
20,2020-09-28,mukono,beans,1416
21,2021-03-01,nakasero,MAIZE,1145
22,2020-02-05,none,MAIZE,4393
23,2020-09-27,none,BEANS,4917
24,2020-12-31,nakasero,BEANS,3559
25,2020-03-02,bwaise,MAIZE,672
26,2020-04-22,mukono,maize,982
27,2021-03-16,nakasero,maize,2781
28,2020-03-08,none,BEANS,4374
29,2020-02-19,kansanga,beans,4325
30,2020-11-30,mukono,maize,3279
31,2020-04-08,bwaise,BEANS,2003
32,2021-04-17,mukono,BEANS,1302
33,2021-03-04,mukono,maize,2436
34,2020-04-19,kansanga,maize,517
35,2021-02-05,kansanga,beans,4486
36,2021-05-10,mukono,maize,968
37,2021-04-15,none,MAIZE,4660
38,2020-10-31,mukono,MAIZE,2516
39,2020-02-11,kansanga,beans,2173
40,2020-05-15,kansanga,MAIZE,2957
41,2021-04-24,mukono,maize,1319
42,2020-05-15,bwaise,beans,2501
43,2021-03-02,none,beans,4833
43,2020-06-02,mukono,MAIZE,1376
45,2020-05-24,none,MAIZE,2167
46,2020-09-15,kansanga,beans,916
47,2020-05-21,mukono,maize,1571
48,2021-01-14,kansanga,BEANS,1416
49,2021-04-07,bwaise,maize,1713
50,2020-07-05,mukono,beans,2544
51,2020-10-13,kansanga,MAIZE,2439
52,2021-02-19,bwaise,BEANS,-2000
53,2021-04-21,kansanga,MAIZE,1385
54,2020-08-28,bwaise,MAIZE,4270
55,2021-03-22,bwaise,MAIZE,-2000
56,2021-03-18,mukono,beans,4673
57,2020-10-01,nakasero,maize,2639
58,2020-05-15,mukono,maize,3331
59,2020-11-06,none,maize,2057
60,2020-01-01,none,MAIZE,1073
61,2020-11-15,nakasero,maize,2960
62,2020-06-16,kansanga,beans,2071
63,2020-12-12,bwaise,beans,503
64,2021-02-06,none,beans,4122
65,2021-02-10,bwaise,maize,3245
66,2020-04-30,nakasero,MAIZE,1707
67,2020-08-31,none,maize,2092
68,2020-07-23,bwaise,MAIZE,545
69,2021-03-29,mukono,BEANS,4743
70,2021-04-14,mukono,BEANS,4306
71,2020-10-31,nakasero,BEANS,4635
72,2020-08-16,bwaise,BEANS,2525
73,2021-02-02,none,BEANS,2749
74,2020-04-30,nakasero,beans,4924
75,2020-07-15,bwaise,MAIZE,3839
76,2020-02-01,bwaise,BEANS,660
77,2020-07-13,kansanga,maize,2946
78,2021-05-03,kansanga,MAIZE,2735
79,2020-14-50,nakasero,BEANS,4328
80,2020-09-30,mukono,BEANS,722
81,2021-03-19,kansanga,MAIZE,3605
82,2020-06-21,kansanga,beans,3953
83,2020-01-10,none,maize,3366
84,2021-05-05,mukono,maize,2133
85,2020-05-02,bwaise,BEANS,2285
86,2020-07-07,bwaise,maize,1841
87,2020-01-14,nakasero,BEANS,2124
88,2020-11-17,bwaise,maize,2970
89,2020-03-02,none,maize,4009
90,2020-11-27,nakasero,maize,4515
91,2020-11-21,kansanga,MAIZE,4774
92,2021-02-17,none,BEANS,2698
93,2021-04-23,mukono,beans,2497
94,2020-12-08,kansanga,beans,-2000
95,2020-04-18,nakasero,beans,2763
96,2020-04-07,mukono,MAIZE,4502
97,2020-08-31,kansanga,BEANS,1262
98,2020-05-04,nakasero,beans,4849
99,2020-10-08,nakasero,beans,2719
100,2021-01-04,bwaise,beans,4889
101,2020-04-08,bwaise,BEANS,4797
102,2021-03-02,bwaise,beans,1969
103,2020-03-05,nakasero,maize,2893
104,2021-03-20,kansanga,maize,2829
105,2020-04-04,mukono,beans,4413
106,2020-09-08,mukono,maize,2989
107,2020-10-12,kansanga,MAIZE,3616
108,2021-03-16,none,BEANS,993
109,2021-04-30,bwaise,MAIZE,1165
110,2020-02-08,bwaise,maize,4349
111,2020-12-27,nakasero,BEANS,2412
112,2020-11-16,none,MAIZE,4961
113,2020-05-16,bwaise,maize,3019
114,2021-04-16,nakasero,BEANS,2991
115,2020-09-13,none,BEANS,826
116,2020-11-05,nakasero,maize,669
117,2020-05-17,none,maize,1935
118,2021-04-14,nakasero,MAIZE,4070
119,2020-02-16,kansanga,beans,3130
120,2020-06-17,kansanga,BEANS,3780
121,2020-08-20,mukono,beans,1449
122,2020-09-20,mukono,BEANS,2036
123,2020-09-12,kansanga,maize,4999
124,2021-03-26,kansanga,maize,-2000
125,2020-12-29,bwaise,beans,3842
126,2021-04-12,mukono,BEANS,1761
127,2020-09-17,nakasero,BEANS,4368
128,2020-07-15,bwaise,MAIZE,2763
129,2020-06-23,none,beans,2817
130,2020-10-23,kansanga,MAIZE,4467
131,2020-10-05,kansanga,BEANS,2045
132,2020-07-15,bwaise,BEANS,-2000
133,2021-02-19,kansanga,BEANS,1746
134,2020-09-14,none,beans,4106
135,2020-01-08,bwaise,BEANS,1764
136,2020-05-15,nakasero,BEANS,3191
137,2020-07-13,nakasero,BEANS,794
138,2020-12-16,nakasero,MAIZE,4055
139,2020-12-26,mukono,BEANS,2953
140,2021-02-11,mukono,beans,4028
141,2020-10-16,bwaise,MAIZE,3633
142,2021-04-12,none,MAIZE,2580
143,2021-04-05,kansanga,beans,1794
144,2020-10-27,nakasero,BEANS,4242
145,2020-07-15,kansanga,maize,3440
146,2020-05-31,mukono,BEANS,901
147,2021-03-02,nakasero,MAIZE,3386
148,2020-05-08,bwaise,maize,822
149,2020-10-23,nakasero,MAIZE,2917
150,2020-04-12,bwaise,beans,2732
151,2021-02-26,kansanga,beans,3274
152,2020-02-08,bwaise,MAIZE,3755
153,2020-07-06,mukono,BEANS,-2000
154,2020-12-10,nakasero,BEANS,3543
155,2020-01-13,none,beans,2313
156,2020-08-25,nakasero,BEANS,871
157,2020-09-09,mukono,maize,4903
158,2020-12-09,none,BEANS,1765
159,2021-03-02,kansanga,BEANS,2791
160,2020-08-15,kansanga,MAIZE,1313
161,2021-04-06,nakasero,maize,2054
162,2021-02-25,kansanga,maize,674
163,2020-03-05,none,MAIZE,2197
164,2020-04-29,nakasero,MAIZE,523
165,2020-03-07,none,beans,1400
166,2020-14-50,mukono,beans,2449
167,2020-14-50,nakasero,maize,3948
168,2020-08-31,kansanga,beans,1393
169,2020-11-10,mukono,beans,755
170,2020-07-24,kansanga,maize,4133
171,2020-11-07,bwaise,maize,4992
172,2020-11-01,none,beans,4024
173,2021-03-12,none,MAIZE,2371
174,2020-07-23,kansanga,maize,3060
175,2020-03-19,kansanga,maize,1199
176,2021-01-13,nakasero,MAIZE,3200
177,2021-03-23,kansanga,maize,3059
178,2020-04-18,bwaise,BEANS,1386
179,2020-02-28,nakasero,MAIZE,715
180,2020-12-21,nakasero,maize,3031
181,2020-04-02,bwaise,BEANS,751
182,2020-07-11,kansanga,BEANS,3531
183,2021-04-27,none,maize,1774
184,2020-12-11,mukono,beans,3973
185,2020-05-19,bwaise,maize,1408
186,2020-09-06,none,beans,-2000
187,2020-01-04,bwaise,beans,1624
