date,market,rainfall
2020-01-01,mukono,0.3
2020-01-02,mukono,0.3
2020-01-03,mukono,0.0
2020-01-04,mukono,0.2
2020-01-05,mukono,0.0
2020-01-06,mukono,3.4
2020-01-07,mukono,0.5
2020-01-08,mukono,6.3
2020-01-09,mukono,0.7
2020-01-10,mukono,6.3
2020-01-11,mukono,0.5
2020-01-12,mukono,3.7
2020-01-13,mukono,1.0
2020-01-14,mukono,0.0
2020-01-15,mukono,0.0
2020-01-16,mukono,1.2
2020-01-17,mukono,2.6
2020-01-18,mukono,10.1
2020-01-19,mukono,0.0
2020-01-20,mukono,0.0
2020-01-21,mukono,0.0
2020-01-22,mukono,0.0
2020-01-23,mukono,0.0
2020-01-24,mukono,0.0
2020-01-25,mukono,0.1
2020-01-26,mukono,0.8
2020-01-27,mukono,9.5
2020-01-28,mukono,9.5
2020-01-29,mukono,8.4
2020-01-30,mukono,8.5
2020-01-31,mukono,25.4
2020-02-01,mukono,5.0
2020-02-02,mukono,0.8
2020-02-03,mukono,2.9
2020-02-04,mukono,2.6
2020-02-05,mukono,3.2
2020-02-06,mukono,18.5
2020-02-07,mukono,0.2
2020-02-08,mukono,0.0
2020-02-09,mukono,0.1
2020-02-10,mukono,0.0
2020-02-11,mukono,0.0
2020-02-12,mukono,0.1
2020-02-13,mukono,0.0
2020-02-14,mukono,1.3
2020-02-15,mukono,18.3
2020-02-16,mukono,5.7
2020-02-17,mukono,5.1
2020-02-18,mukono,1.7
2020-02-19,mukono,7.1
2020-02-20,mukono,8.1
2020-02-21,mukono,1.8
2020-02-22,mukono,1.8
2020-02-23,mukono,0.3
2020-02-24,mukono,3.4
2020-02-25,mukono,1.4
2020-02-26,mukono,1.8
2020-02-27,mukono,6.7
2020-02-28,mukono,19.0
2020-02-29,mukono,2.2
2020-03-01,mukono,3.9
2020-03-02,mukono,5.2
2020-03-03,mukono,12.4
2020-03-04,mukono,8.5
2020-03-05,mukono,4.3
2020-03-06,mukono,1.7
2020-03-07,mukono,2.2
2020-03-08,mukono,4.3
2020-03-09,mukono,12.2
2020-03-10,mukono,0.2
2020-03-11,mukono,5.4
2020-03-12,mukono,4.3
2020-03-13,mukono,6.2
2020-03-14,mukono,1.3
2020-03-15,mukono,1.6
2020-03-16,mukono,17.0
2020-03-17,mukono,5.9
2020-03-18,mukono,7.8
2020-03-19,mukono,3.3
2020-03-20,mukono,4.2
2020-03-21,mukono,4.2
2020-03-22,mukono,19.6
2020-03-23,mukono,3.3
2020-03-24,mukono,5.7
2020-03-25,mukono,4.5
2020-03-26,mukono,4.5
2020-03-27,mukono,8.2
2020-03-28,mukono,11.1
2020-03-29,mukono,8.5
2020-03-30,mukono,1.2
2020-03-31,mukono,2.1
2020-04-01,mukono,1.5
2020-04-02,mukono,0.2
2020-04-03,mukono,1.3
2020-04-04,mukono,6.2
2020-04-05,mukono,3.4
2020-04-06,mukono,1.1
2020-04-07,mukono,0.7
2020-04-08,mukono,0.3
2020-04-09,mukono,0.4
2020-04-10,mukono,7.5
2020-04-11,mukono,2.4
2020-04-12,mukono,16.3
2020-04-13,mukono,13.5
2020-04-14,mukono,12.9
2020-04-15,mukono,2.7
2020-04-16,mukono,0.6
2020-04-17,mukono,7.1
2020-04-18,mukono,9.2
2020-04-19,mukono,6.6
2020-04-20,mukono,22.2
2020-04-21,mukono,6.5
2020-04-22,mukono,4.1
2020-04-23,mukono,11.5
2020-04-24,mukono,7.8
2020-04-25,mukono,0.3
2020-04-26,mukono,4.3
2020-04-27,mukono,5.9
2020-04-28,mukono,11.8
2020-04-29,mukono,7.3
2020-04-30,mukono,8.0
2020-05-01,mukono,7.0
2020-05-02,mukono,19.7
